partner_id,partner_name,registered_date,partner_status,cuisine,franchise_name,vertical_type,PREPTIME_CARGADO,CRITERIO_ASIGNACION
637486,Roll & Smash.,2026-09-03,ON_LINE,,,restaurants,30,KEYWORD (ROLL)
637355,De Frambuesa Pastelería,2026-09-02,ON_LINE,,,restaurants,10,KEYWORD (PASTEL)
637111,El Chacha Pollo,2026-09-01,ON_LINE,Completos,,restaurants,25,KEYWORD (POLLO)
637102,Sweet Made.,2026-09-01,ON_LINE,Cafetería,,restaurants,10,CUISINE (CAFETERIA)
637214,Gorilas San Miguel,2026-09-01,ON_LINE,Hamburguesas,,restaurants,20,CUISINE (HAMBURGUESAS)
637104,Chicken Madness - San Pedro De La Paz,2026-09-01,ON_LINE,Hamburguesas,,restaurants,20,CUISINE (HAMBURGUESAS)
637483,Vera Pizza,2026-09-03,ON_LINE,,,restaurants,25,KEYWORD (PIZZ)
637145,La Diez Burger.,2026-09-01,ON_LINE,Sándwiches,,restaurants,20,KEYWORD (BURGER)
637466,La Muralla Dorada - Comida China,2026-09-02,ON_LINE,,,restaurants,25,KEYWORD (CHIN)
637326,Chido - San Miguel,2026-09-02,ON_LINE,,Vittore - LATAM,restaurants,20,FRANCHISE (VITTORE)
637117,Sushi Qiang,2026-09-01,ON_LINE,,,restaurants,30,KEYWORD (SUSHI)
637291,Ke´ Sushi Coquimbo.,2026-09-02,ON_LINE,Sushi,,restaurants,30,CUISINE (SUSHI)
637168,Sagrada Burger.,2026-09-01,ON_LINE,Hamburguesas,,restaurants,20,CUISINE (HAMBURGUESAS)
637225,Mi Salads & Co.,2026-09-01,ON_LINE,Ensaladas,,restaurants,15,KEYWORD (SALAD)
637342,Madame Grace - Chicureo,2026-09-02,ON_LINE,,,restaurants,15,DEFAULT (RESTAURANTS/COURIER 15 MIN)
637127,Café Con Miel Villa Alemana,2026-09-01,ON_LINE,Cafetería,,restaurants,10,CUISINE (CAFETERIA)
637376,Noboru Street Food,2026-09-02,ON_LINE,,,restaurants,15,DEFAULT (RESTAURANTS/COURIER 15 MIN)
637125,Gusto Culposo 296,2026-09-01,ON_LINE,Hamburguesas,,restaurants,20,CUISINE (HAMBURGUESAS)
637404,The Breakfast --,2026-09-02,ON_LINE,,,courier_business,15,DEFAULT (RESTAURANTS/COURIER 15 MIN)
637426,La Fabbrica -- 971,2026-09-02,ON_LINE,,,courier_business,15,DEFAULT (RESTAURANTS/COURIER 15 MIN)
637423,La Reserva Liquor Store --,2026-09-02,ON_LINE,,,courier_business,10,KEYWORD (LIQUOR)
