CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
637486,MONDAY-SUNDAY,0-23,2,30,OPS_TEMPORARY
637355,MONDAY-SUNDAY,0-23,2,10,OPS_TEMPORARY
637111,MONDAY-SUNDAY,0-23,2,25,OPS_TEMPORARY
637102,MONDAY-SUNDAY,0-23,2,10,OPS_TEMPORARY
637214,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637104,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637483,MONDAY-SUNDAY,0-23,2,25,OPS_TEMPORARY
637145,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637466,MONDAY-SUNDAY,0-23,2,25,OPS_TEMPORARY
637326,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637117,MONDAY-SUNDAY,0-23,2,30,OPS_TEMPORARY
637291,MONDAY-SUNDAY,0-23,2,30,OPS_TEMPORARY
637168,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637225,MONDAY-SUNDAY,0-23,2,15,OPS_TEMPORARY
637342,MONDAY-SUNDAY,0-23,2,15,OPS_TEMPORARY
637127,MONDAY-SUNDAY,0-23,2,10,OPS_TEMPORARY
637376,MONDAY-SUNDAY,0-23,2,15,OPS_TEMPORARY
637125,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637404,MONDAY-SUNDAY,0-23,2,15,OPS_TEMPORARY
637426,MONDAY-SUNDAY,0-23,2,15,OPS_TEMPORARY
637423,MONDAY-SUNDAY,0-23,2,10,OPS_TEMPORARY
