partner_id,partner_name,registered_date,partner_status,cuisine,franchise_name,vertical_type
"637799","Toktok Sabor Spa","2026-09-04","ON_LINE","Comida China","","restaurants"
"637772","Dúo Pizzas - El Bosque.","2026-09-04","ON_LINE","Pizzas","","restaurants"
"637790","Pollos Villa Park.","2026-09-04","ON_LINE","Sándwiches","","restaurants"
"637679","Rick Burger.","2026-09-04","ON_LINE","Hamburguesas","","restaurants"
"637838","Sushin","2026-09-04","ON_LINE","Sushi","","restaurants"
"637818","Sabor Bravo 448","2026-09-04","ON_LINE","Comida Mexicana","","restaurants"
"637742","Efrata Restaurant.","2026-09-04","ON_LINE","Hamburguesas","","restaurants"
"637824","Palestinos Sabores Arabes","2026-09-04","ON_LINE","Comida Árabe","","restaurants"
"637783","Shawarmas Cuaticos --","2026-09-04","ON_LINE","","","courier_business"
"637786","Cafe Mahuzier -- 911","2026-09-04","ON_LINE","","","courier_business"
