CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
133509,FRIDAY-FRIDAY,0-11,2,20,OPS_TEMPORARY
133509,FRIDAY-FRIDAY,12-14,2,20,OPS_TEMPORARY
133509,FRIDAY-FRIDAY,15-18,2,20,OPS_TEMPORARY
133509,FRIDAY-FRIDAY,19-21,2,20,OPS_TEMPORARY
133509,FRIDAY-FRIDAY,22-23,2,20,OPS_TEMPORARY
133509,MONDAY-MONDAY,0-11,2,20,OPS_TEMPORARY
133509,MONDAY-MONDAY,12-14,2,20,OPS_TEMPORARY
133509,MONDAY-MONDAY,15-18,2,20,OPS_TEMPORARY
133509,MONDAY-MONDAY,19-21,2,20,OPS_TEMPORARY
133509,MONDAY-MONDAY,22-23,2,20,OPS_TEMPORARY
133509,SATURDAY-SATURDAY,0-11,2,20,OPS_TEMPORARY
133509,SATURDAY-SATURDAY,12-14,2,20,OPS_TEMPORARY
133509,SATURDAY-SATURDAY,15-18,2,20,OPS_TEMPORARY
133509,SATURDAY-SATURDAY,19-21,2,20,OPS_TEMPORARY
133509,SATURDAY-SATURDAY,22-23,2,20,OPS_TEMPORARY
133509,SUNDAY-SUNDAY,0-11,2,20,OPS_TEMPORARY
133509,SUNDAY-SUNDAY,12-14,2,20,OPS_TEMPORARY
133509,SUNDAY-SUNDAY,15-18,2,20,OPS_TEMPORARY
133509,SUNDAY-SUNDAY,19-21,2,20,OPS_TEMPORARY
133509,SUNDAY-SUNDAY,22-23,2,20,OPS_TEMPORARY
133509,THURSDAY-THURSDAY,0-11,2,20,OPS_TEMPORARY
133509,THURSDAY-THURSDAY,12-14,2,20,OPS_TEMPORARY
133509,THURSDAY-THURSDAY,15-18,2,20,OPS_TEMPORARY
133509,THURSDAY-THURSDAY,19-21,2,20,OPS_TEMPORARY
133509,THURSDAY-THURSDAY,22-23,2,20,OPS_TEMPORARY
133509,TUESDAY-TUESDAY,0-11,2,17,OPS_TEMPORARY
133509,TUESDAY-TUESDAY,12-14,2,18,OPS_TEMPORARY
133509,TUESDAY-TUESDAY,15-18,2,17,OPS_TEMPORARY
133509,TUESDAY-TUESDAY,19-21,2,18,OPS_TEMPORARY
133509,TUESDAY-TUESDAY,22-23,2,17,OPS_TEMPORARY
133509,WEDNESDAY-WEDNESDAY,0-11,2,20,OPS_TEMPORARY
133509,WEDNESDAY-WEDNESDAY,12-14,2,19,OPS_TEMPORARY
133509,WEDNESDAY-WEDNESDAY,15-18,2,20,OPS_TEMPORARY
133509,WEDNESDAY-WEDNESDAY,19-21,2,20,OPS_TEMPORARY
133509,WEDNESDAY-WEDNESDAY,22-23,2,20,OPS_TEMPORARY
229581,FRIDAY-FRIDAY,0-11,2,26,OPS_TEMPORARY
229581,FRIDAY-FRIDAY,12-14,2,26,OPS_TEMPORARY
229581,FRIDAY-FRIDAY,15-18,2,26,OPS_TEMPORARY
229581,FRIDAY-FRIDAY,19-21,2,26,OPS_TEMPORARY
229581,FRIDAY-FRIDAY,22-23,2,26,OPS_TEMPORARY
229581,MONDAY-MONDAY,0-11,2,26,OPS_TEMPORARY
229581,MONDAY-MONDAY,12-14,2,26,OPS_TEMPORARY
229581,MONDAY-MONDAY,15-18,2,26,OPS_TEMPORARY
229581,MONDAY-MONDAY,19-21,2,26,OPS_TEMPORARY
229581,MONDAY-MONDAY,22-23,2,26,OPS_TEMPORARY
229581,SATURDAY-SATURDAY,0-11,2,26,OPS_TEMPORARY
229581,SATURDAY-SATURDAY,12-14,2,26,OPS_TEMPORARY
229581,SATURDAY-SATURDAY,15-18,2,26,OPS_TEMPORARY
229581,SATURDAY-SATURDAY,19-21,2,26,OPS_TEMPORARY
229581,SATURDAY-SATURDAY,22-23,2,26,OPS_TEMPORARY
229581,SUNDAY-SUNDAY,0-11,2,26,OPS_TEMPORARY
229581,SUNDAY-SUNDAY,12-14,2,26,OPS_TEMPORARY
229581,SUNDAY-SUNDAY,15-18,2,26,OPS_TEMPORARY
229581,SUNDAY-SUNDAY,19-21,2,26,OPS_TEMPORARY
229581,SUNDAY-SUNDAY,22-23,2,26,OPS_TEMPORARY
229581,THURSDAY-THURSDAY,0-11,2,26,OPS_TEMPORARY
229581,THURSDAY-THURSDAY,12-14,2,26,OPS_TEMPORARY
229581,THURSDAY-THURSDAY,15-18,2,26,OPS_TEMPORARY
229581,THURSDAY-THURSDAY,19-21,2,26,OPS_TEMPORARY
229581,THURSDAY-THURSDAY,22-23,2,26,OPS_TEMPORARY
229581,TUESDAY-TUESDAY,0-11,2,26,OPS_TEMPORARY
229581,TUESDAY-TUESDAY,12-14,2,26,OPS_TEMPORARY
229581,TUESDAY-TUESDAY,15-18,2,26,OPS_TEMPORARY
229581,TUESDAY-TUESDAY,19-21,2,26,OPS_TEMPORARY
229581,TUESDAY-TUESDAY,22-23,2,26,OPS_TEMPORARY
229581,WEDNESDAY-WEDNESDAY,0-11,2,26,OPS_TEMPORARY
229581,WEDNESDAY-WEDNESDAY,12-14,2,26,OPS_TEMPORARY
229581,WEDNESDAY-WEDNESDAY,15-18,2,26,OPS_TEMPORARY
229581,WEDNESDAY-WEDNESDAY,19-21,2,26,OPS_TEMPORARY
229581,WEDNESDAY-WEDNESDAY,22-23,2,26,OPS_TEMPORARY
286542,FRIDAY-FRIDAY,0-11,2,20,OPS_TEMPORARY
286542,FRIDAY-FRIDAY,12-14,2,20,OPS_TEMPORARY
286542,FRIDAY-FRIDAY,15-18,2,20,OPS_TEMPORARY
286542,FRIDAY-FRIDAY,19-21,2,20,OPS_TEMPORARY
286542,FRIDAY-FRIDAY,22-23,2,20,OPS_TEMPORARY
286542,MONDAY-MONDAY,0-11,2,20,OPS_TEMPORARY
286542,MONDAY-MONDAY,12-14,2,20,OPS_TEMPORARY
286542,MONDAY-MONDAY,15-18,2,20,OPS_TEMPORARY
286542,MONDAY-MONDAY,19-21,2,20,OPS_TEMPORARY
286542,MONDAY-MONDAY,22-23,2,20,OPS_TEMPORARY
286542,SATURDAY-SATURDAY,0-11,2,20,OPS_TEMPORARY
286542,SATURDAY-SATURDAY,12-14,2,20,OPS_TEMPORARY
286542,SATURDAY-SATURDAY,15-18,2,20,OPS_TEMPORARY
286542,SATURDAY-SATURDAY,19-21,2,20,OPS_TEMPORARY
286542,SATURDAY-SATURDAY,22-23,2,20,OPS_TEMPORARY
286542,SUNDAY-SUNDAY,0-11,2,20,OPS_TEMPORARY
286542,SUNDAY-SUNDAY,12-14,2,20,OPS_TEMPORARY
286542,SUNDAY-SUNDAY,15-18,2,20,OPS_TEMPORARY
286542,SUNDAY-SUNDAY,19-21,2,20,OPS_TEMPORARY
286542,SUNDAY-SUNDAY,22-23,2,20,OPS_TEMPORARY
286542,THURSDAY-THURSDAY,0-11,2,20,OPS_TEMPORARY
286542,THURSDAY-THURSDAY,12-14,2,20,OPS_TEMPORARY
286542,THURSDAY-THURSDAY,15-18,2,20,OPS_TEMPORARY
286542,THURSDAY-THURSDAY,19-21,2,20,OPS_TEMPORARY
286542,THURSDAY-THURSDAY,22-23,2,20,OPS_TEMPORARY
286542,TUESDAY-TUESDAY,0-11,2,20,OPS_TEMPORARY
286542,TUESDAY-TUESDAY,12-14,2,20,OPS_TEMPORARY
286542,TUESDAY-TUESDAY,15-18,2,20,OPS_TEMPORARY
286542,TUESDAY-TUESDAY,19-21,2,20,OPS_TEMPORARY
286542,TUESDAY-TUESDAY,22-23,2,20,OPS_TEMPORARY
286542,WEDNESDAY-WEDNESDAY,0-11,2,20,OPS_TEMPORARY
286542,WEDNESDAY-WEDNESDAY,12-14,2,20,OPS_TEMPORARY
286542,WEDNESDAY-WEDNESDAY,15-18,2,20,OPS_TEMPORARY
286542,WEDNESDAY-WEDNESDAY,19-21,2,20,OPS_TEMPORARY
286542,WEDNESDAY-WEDNESDAY,22-23,2,20,OPS_TEMPORARY
291016,FRIDAY-FRIDAY,0-11,2,21,OPS_TEMPORARY
291016,FRIDAY-FRIDAY,12-14,2,21,OPS_TEMPORARY
291016,FRIDAY-FRIDAY,15-18,2,21,OPS_TEMPORARY
291016,FRIDAY-FRIDAY,19-21,2,21,OPS_TEMPORARY
291016,FRIDAY-FRIDAY,22-23,2,21,OPS_TEMPORARY
291016,MONDAY-MONDAY,0-11,2,21,OPS_TEMPORARY
291016,MONDAY-MONDAY,12-14,2,19,OPS_TEMPORARY
291016,MONDAY-MONDAY,15-18,2,21,OPS_TEMPORARY
291016,MONDAY-MONDAY,19-21,2,20,OPS_TEMPORARY
291016,MONDAY-MONDAY,22-23,2,21,OPS_TEMPORARY
291016,SATURDAY-SATURDAY,0-11,2,21,OPS_TEMPORARY
291016,SATURDAY-SATURDAY,12-14,2,21,OPS_TEMPORARY
291016,SATURDAY-SATURDAY,15-18,2,21,OPS_TEMPORARY
291016,SATURDAY-SATURDAY,19-21,2,21,OPS_TEMPORARY
291016,SATURDAY-SATURDAY,22-23,2,21,OPS_TEMPORARY
291016,SUNDAY-SUNDAY,0-11,2,21,OPS_TEMPORARY
291016,SUNDAY-SUNDAY,12-14,2,21,OPS_TEMPORARY
291016,SUNDAY-SUNDAY,15-18,2,21,OPS_TEMPORARY
291016,SUNDAY-SUNDAY,19-21,2,21,OPS_TEMPORARY
291016,SUNDAY-SUNDAY,22-23,2,21,OPS_TEMPORARY
